'cos; k ˈ ə z
raf; ɹ ˈ æ f
raffle; ɹ ˈ æ f ə l
raft; ɹ ˈ ɑː f t
rag; ɹ ˈ æ g
rage; ɹ ˈ eɪ d͡ʒ
raid; ɹ ˈ eɪ d
rail; ɹ ˈ eɪ l
railroad; ɹ ˈ eɪ l ɹ ˌ əʊ d
rails; ɹ ˈ eɪ l z
railway; ɹ ˈ eɪ l w ˌ eɪ
railways; ɹ ˈ eɪ l w ˌ eɪ z
rain; ɹ ˈ eɪ n
rainbow; ɹ ˈ eɪ n b ˌ əʊ
rainfall; ɹ ˈ eɪ n f ˌ ɔː l
raining; ɹ ˈ eɪ n ɪ ŋ
rainy; ɹ ˈ eɪ n i
raise; ɹ ˈ eɪ z
raised; ɹ ˈ eɪ z d
raises; ɹ ˈ eɪ z ɪ z
raising; ɹ ˈ eɪ z ɪ ŋ
raisins; ɹ ˈ eɪ z ɪ n z
rake; ɹ ˈ eɪ k
raleigh; ɹ ˈ ɑː l i
raleigh; ɹ ˈ ɔː l i
rally; ɹ ˈ æ l i
ralph; ɹ ˈ æ l f
ram; ɹ ˈ æ m
ramen; ɹ ˈ ɑː m ə n
ramp; ɹ ˈ æ m p
ran; ɹ ˈ æ n
ranch; ɹ ˈ ɑː n t͡ʃ
rand; ɹ ˈ æ n d
random; ɹ ˈ æ n d ə m
randomise; ɹ ˈ æ n d ə m ˌ aɪ z
randomize; ɹ ˈ æ n d ə m ˌ aɪ z
randomly; ɹ ˈ æ n d ə m l i
randy; ɹ ˈ æ n d i
rang; ɹ ˈ æ ŋ
range; ɹ ˈ eɪ n d͡ʒ
ranger; ɹ ˈ eɪ n d͡ʒ ə
rangers; ɹ ˈ eɪ n d͡ʒ ə z
ranges; ɹ ˈ eɪ n d͡ʒ ɪ z
ranging; ɹ ˈ eɪ n d͡ʒ ɪ ŋ
rank; ɹ ˈ æ ŋ k
ranked; ɹ ˈ æ ŋ k t
ranking; ɹ ˈ æ ŋ k ɪ ŋ
rankings; ɹ ˈ æ ŋ k ɪ ŋ z
ranks; ɹ ˈ æ ŋ k s
rant; ɹ ˈ æ n t
rap; ɹ ˈ æ p
rape; ɹ ˈ eɪ p
raped; ɹ ˈ eɪ p t
rapid; ɹ ˈ æ p ɪ d
rapidly; ɹ ˈ æ p ɪ d l i
rapids; ɹ ˈ æ p ɪ d z
rapt; ɹ ˈ æ p t
rare; ɹ ˈ ɛə
rarely; ɹ ˈ ɛə l i
rash; ɹ ˈ æ ʃ
raspberry; ɹ ˈ ɑː z b ɹ i
raspberry; ɹ ˈ ɑː z b ə ɹ i
raspy; ɹ ˈ ɑː s p i
rat; ɹ ˈ æ t
rate; ɹ ˈ eɪ t
rated; ɹ ˈ eɪ t ɪ d
rates; ɹ ˈ eɪ t s
rather; ɹ ˈ ɑː ð ə
rating; ɹ ˈ eɪ t ɪ ŋ
ratings; ɹ ˈ eɪ t ɪ ŋ z
ratio; ɹ ˈ eɪ ʃ ɪ ˌ əʊ
ration; ɹ ˈ æ ʃ ə n
rational; ɹ ˈ æ ʃ n ə l
rational; ɹ ˈ æ ʃ ə n ə l
rationality; ɹ ˌ æ ʃ ə n ˈ æ l ɪ t i
ratios; ɹ ˈ eɪ ʃ ɪ ˌ əʊ z
rats; ɹ ˈ æ t s
rattle; ɹ ˈ æ t ə l
rave; ɹ ˈ eɪ v
raven; ɹ ˈ eɪ v ə n
raw; ɹ ˈ ɔː
ray; ɹ ˈ eɪ
raymond; ɹ ˈ eɪ m ə n d
rays; ɹ ˈ eɪ z
raze; ɹ ˈ eɪ z
razor; ɹ ˈ eɪ z ə
re; ɹ ˈ eɪ
re; ɹ ˈ iː
re-sign; ɹ iː s ˈ aɪ n
re-sort; ɹ ˌ iː s ˈ ɔː t
reach; ɹ ˈ iː t͡ʃ
reached; ɹ ˈ iː t͡ʃ t
reaches; ɹ ˈ iː t͡ʃ ɪ z
reaching; ɹ ˈ iː t͡ʃ ɪ ŋ
react; ɹ ɪ ˈ æ k t
reaction; ɹ ɪ ˈ æ k ʃ ə n
reactions; ɹ ɪ ˈ æ k ʃ ə n z
reactor; ɹ ɪ ˈ æ k t ə
read; ɹ ˈ iː d
read; ɹ ˈ ɛ d
reader; ɹ ˈ iː d ə
readers; ɹ ˈ iː d ə z
readily; ɹ ˈ ɛ d ɪ l i
reading; ɹ ˈ iː d ɪ ŋ
reading; ɹ ˈ ɛ d ɪ ŋ
readings; ɹ ˈ iː d ɪ ŋ z
reads; ɹ ˈ iː d z
ready; ɹ ˈ ɛ d i
real; ɹ ˈ ɪə l
realise; ɹ ˈ ɪə l ˌ aɪ z
realised; ɹ ˈ ɪə l ˌ aɪ z d
realism; ɹ ˈ ɪə l ɪ z ə m
realistic; ɹ ˌ ɪə l ˈ ɪ s t ɪ k
realities; ɹ ɪ ˈ æ l ɪ t i z
reality; ɹ ɪ ˈ æ l ɪ t i
realize; ɹ ˈ ɪə l ˌ aɪ z
realized; ɹ ˈ ɪə l ˌ aɪ z d
really; ɹ ˈ ɪə l i
realm; ɹ ˈ ɛ l m
realtor; ɹ ˈ ɪə l t ə
realtor; ɹ ˈ ɪə l t ɔː
realtors; ɹ ˈ ɪə l t ə z
realtors; ɹ ˈ ɪə l t ɔː z
realty; ɹ ˈ ɪə l t i
ream; ɹ ˈ iː m
reap; ɹ ˈ iː p
rear; ɹ ˈ ɪə
reason; ɹ ˈ iː z ə n
reasonable; ɹ ˈ iː z n ə b ə l
reasonable; ɹ ˈ iː z ə n ə b ə l
reasonably; ɹ ˈ iː z ə n ə b l i
reasoning; ɹ ˈ iː z ə n ɪ ŋ
reasons; ɹ ˈ iː z ə n z
reassure; ɹ ˌ iː ə ʃ ˈ ʊə
reassure; ɹ ˌ iː ə ʃ ˈ ɔː
rebate; ɹ ˈ iː b ˌ eɪ t
rebates; ɹ ˈ iː b ˌ eɪ t s
rebecca; ɹ ɪ b ˈ ɛ k ə
rebel; ɹ ˈ ɛ b ə l
rebel; ɹ ɪ b ˈ ɛ l
rebellion; ɹ ɪ b ˈ ɛ l j ə n
rebels; ɹ ɪ b ˈ ɛ l z
rebels; ɹ ˈ ɛ b ə l z
rebound; ɹ ɪ b ˈ aʊ n d
rebound; ɹ ˈ iː b aʊ n d
rebuild; ɹ iː b ˈ ɪ l d
rebuilt; ɹ iː b ˈ ɪ l t
recall; ɹ ɪ k ˈ ɔː l
recall; ɹ ˈ iː k ɔː l
recalled; ɹ ɪ k ˈ ɔː l d
recalls; ɹ ɪ k ˈ ɔː l z
recalls; ɹ ˈ iː k ɔː l z
recap; ɹ ˈ iː k æ p
recap; ɹ iː k ˈ æ p
receipt; ɹ ɪ s ˈ iː t
receive; ɹ ɪ s ˈ iː v
received; ɹ ɪ s ˈ iː v d
receiver; ɹ ɪ s ˈ iː v ə
receivers; ɹ ɪ s ˈ iː v ə z
receives; ɹ ɪ s ˈ iː v z
receiving; ɹ ɪ s ˈ iː v ɪ ŋ
recent; ɹ ˈ iː s ə n t
recently; ɹ ˈ iː s ə n t l i
reception; ɹ ɪ s ˈ ɛ p ʃ ə n
receptor; ɹ ɪ s ˈ ɛ p t ə
receptors; ɹ ɪ s ˈ ɛ p t ə z
recess; ɹ ˈ iː s ɛ s
recess; ɹ ɪ s ˈ ɛ s
recession; ɹ ɪ s ˈ ɛ ʃ ə n
recipe; ɹ ˈ ɛ s ɪ p i
recipes; ɹ ˈ ɛ s ɪ p i z
recipient; ɹ ɪ s ˈ ɪ p ɪə n t
recipients; ɹ ɪ s ˈ ɪ p ɪə n t s
reciprocal; ɹ ɪ s ˈ ɪ p ɹ ə k ə l
reckon; ɹ ˈ ɛ k ə n
reckoned; ɹ ˈ ɛ k ə n d
reckons; ɹ ˈ ɛ k ə n z
reclaim; ɹ ɪ k l ˈ eɪ m
recognise; ɹ ˈ ɛ k ə g n ˌ aɪ z
recognised; ɹ ˈ ɛ k ə g n ˌ aɪ z d
recognition; ɹ ˌ ɛ k ə g n ˈ ɪ ʃ ə n
recognize; ɹ ˈ ɛ k ə g n ˌ aɪ z
recognized; ɹ ˈ ɛ k ə g n ˌ aɪ z d
recollection; ɹ ˌ ɛ k ə l ˈ ɛ k ʃ ə n
recommend; ɹ ˌ ɛ k ə m ˈ ɛ n d
recommendation; ɹ ˌ ɛ k ə m ə n d ˈ eɪ ʃ ə n
recommendations; ɹ ˌ ɛ k ə m ə n d ˈ eɪ ʃ ə n z
recommended; ɹ ˌ ɛ k ə m ˈ ɛ n d ɪ d
recommends; ɹ ˌ ɛ k ə m ˈ ɛ n d z
reconcile; ɹ ˈ ɛ k ə n s ˌ aɪ l
reconstruct; ɹ ˌ iː k ə n s t ɹ ˈ ʌ k t
reconstruction; ɹ ˌ iː k ə n s t ɹ ˈ ʌ k ʃ ə n
record; ɹ ˈ ɛ k ɔː d
record; ɹ ɪ k ˈ ɔː d
recorded; ɹ ɪ k ˈ ɔː d ɪ d
recorder; ɹ ɪ k ˈ ɔː d ə
recorders; ɹ ɪ k ˈ ɔː d ə z
recording; ɹ ɪ k ˈ ɔː d ɪ ŋ
recordings; ɹ ɪ k ˈ ɔː d ɪ ŋ z
records; ɹ ˈ ɛ k ɔː d z
records; ɹ ɪ k ˈ ɔː d z
recover; ɹ ɪ k ˈ ʌ v ə
recovered; ɹ ɪ k ˈ ʌ v ə d
recovery; ɹ ɪ k ˈ ʌ v ɹ i
recovery; ɹ ɪ k ˈ ʌ v ə ɹ i
recreation; ɹ ˌ ɛ k ɹ ɪ ˈ eɪ ʃ ə n
recreation; ɹ ˌ iː k ɹ ɪ ˈ eɪ ʃ ə n
recreational; ɹ ˌ ɛ k ɹ ɪ ˈ eɪ ʃ ə n ə l
recruit; ɹ ɪ k ɹ ˈ uː t
recruiting; ɹ ɪ k ɹ ˈ uː t ɪ ŋ
recruitment; ɹ ɪ k ɹ ˈ uː t m ə n t
recur; ɹ ɪ k ˈ ɜː
recycling; ɹ ɪ s ˈ aɪ k l ɪ ŋ
red; ɹ ˈ ɛ d
redbridge; ɹ ˈ ɛ d b ɹ ɪ d͡ʒ
redcurrant; ɹ ˈ ɛ d k ˌ ʌ ɹ ə n t
redeem; ɹ ɪ d ˈ iː m
redhead; ɹ ˈ ɛ d h ˌ ɛ d
redo; ɹ iː d ˈ uː
reds; ɹ ˈ ɛ d z
reduce; ɹ ɪ d j ˈ uː s
reduced; ɹ ɪ d j ˈ uː s t
reduces; ɹ ɪ d j ˈ uː s ɪ z
reducing; ɹ ɪ d j ˈ uː s ɪ ŋ
reduction; ɹ ɪ d ˈ ʌ k ʃ ə n
reductions; ɹ ɪ d ˈ ʌ k ʃ ə n z
redundancy; ɹ ɪ d ˈ ʌ n d ə n s i
redundant; ɹ ɪ d ˈ ʌ n d ə n t
reed; ɹ ˈ iː d
reef; ɹ ˈ iː f
reek; ɹ ˈ iː k
reel; ɹ ˈ iː l
ref; ɹ ˈ ɛ f
refer; ɹ ɪ f ˈ ɜː
referee; ɹ ˌ ɛ f ə ɹ ˈ iː
reference; ɹ ˈ ɛ f ɹ ə n s
reference; ɹ ˈ ɛ f ə ɹ ə n s
referenced; ɹ ˈ ɛ f ɹ ə n s t
referenced; ɹ ˈ ɛ f ə ɹ ə n s t
references; ɹ ˈ ɛ f ɹ ə n s ɪ z
references; ɹ ˈ ɛ f ə ɹ ə n s ɪ z
referenda; ɹ ˌ ɛ f ə ɹ ˈ ɛ n d ə
referendum; ɹ ˌ ɛ f ə ɹ ˈ ɛ n d ə m
referral; ɹ ɪ f ˈ ɛ ɹ ə l
referrals; ɹ ɪ f ˈ ɛ ɹ ə l z
referred; ɹ ɪ f ˈ ɜː d
referring; ɹ ɪ f ˈ ɜː ɹ ɪ ŋ
refers; ɹ ɪ f ˈ ɜː z
refill; ɹ ˈ iː f ɪ l
refill; ɹ iː f ˈ ɪ l
refinance; ɹ ˌ iː f ˈ aɪ n æ n s
refinance; ɹ ˌ iː f ɪ n ˈ æ n s
refine; ɹ ɪ f ˈ aɪ n
refined; ɹ ɪ f ˈ aɪ n d
refit; ɹ ˈ iː f ˌ ɪ t
refit; ɹ iː f ˈ ɪ t
refitted; ɹ iː f ˈ ɪ t ɪ d
reflect; ɹ ɪ f l ˈ ɛ k t
reflected; ɹ ɪ f l ˈ ɛ k t ɪ d
reflecting; ɹ ɪ f l ˈ ɛ k t ɪ ŋ
reflection; ɹ ɪ f l ˈ ɛ k ʃ ə n
reflections; ɹ ɪ f l ˈ ɛ k ʃ ə n z
reflects; ɹ ɪ f l ˈ ɛ k t s
reflex; ɹ ˈ iː f l ɛ k s
reflex; ɹ ɪ f l ˈ ɛ k s
reform; ɹ ɪ f ˈ ɔː m
reforms; ɹ ɪ f ˈ ɔː m z
refresh; ɹ ɪ f ɹ ˈ ɛ ʃ
refrigerator; ɹ ɪ f ɹ ˈ ɪ d͡ʒ ə ɹ ˌ eɪ t ə
refuge; ɹ ˈ ɛ f j uː d͡ʒ
refugee; ɹ ˈ ɛ f j uː d͡ʒ i
refugees; ɹ ˈ ɛ f j ˌ uː d͡ʒ i z
refund; ɹ ˈ iː f ˌ ʌ n d
refund; ɹ ɪ f ˈ ʌ n d
refurbished; ɹ ɪ f ˈ ɜː b ɪ ʃ t
refusal; ɹ ɪ f j ˈ uː z ə l
refuse; ɹ ɪ f j ˈ uː z
refuse; ɹ ˈ ɛ f j ˌ uː z
refused; ɹ ɪ f j ˈ uː z d
refusing; ɹ ɪ f j ˈ uː z ɪ ŋ
reg; ɹ ˈ ɛ g
regain; ɹ ɪ g ˈ eɪ n
regain; ɹ ˈ iː g ˌ eɪ n
regard; ɹ ɪ g ˈ ɑː d
regarded; ɹ ɪ g ˈ ɑː d ɪ d
regarding; ɹ ɪ g ˈ ɑː d ɪ ŋ
regardless; ɹ ɪ g ˈ ɑː d l ɪ s
regards; ɹ ɪ g ˈ ɑː d z
reggae; ɹ ˈ ɛ g ˌ eɪ
regime; ɹ eɪ ʒ ˈ iː m
regiment; ɹ ˈ ɛ d͡ʒ ɪ m ə n t
region; ɹ ˈ iː d͡ʒ ə n
regional; ɹ ˈ iː d͡ʒ ə n ə l
regions; ɹ ˈ iː d͡ʒ ə n z
register; ɹ ˈ ɛ d͡ʒ ɪ s t ə
registered; ɹ ˈ ɛ d͡ʒ ɪ s t ə d
registrar; ɹ ˈ ɛ d͡ʒ ɪ s t ɹ ˌ ɑː
registrar; ɹ ˌ ɛ d͡ʒ ɪ s t ɹ ˈ ɑː
registration; ɹ ˌ ɛ d͡ʒ ɪ s t ɹ ˈ eɪ ʃ ə n
registry; ɹ ˈ ɛ d͡ʒ ɪ s t ɹ i
regression; ɹ ɪ g ɹ ˈ ɛ ʃ ə n
regret; ɹ ɪ g ɹ ˈ ɛ t
regular; ɹ ˈ ɛ g j ʊ l ə
regularly; ɹ ˈ ɛ g j ʊ l ə l i
regulate; ɹ ˈ ɛ g j ʊ l ˌ eɪ t
regulated; ɹ ˈ ɛ g j ʊ l ˌ eɪ t ɪ d
regulation; ɹ ˌ ɛ g j ʊ l ˈ eɪ ʃ ə n
regulations; ɹ ˌ ɛ g j ʊ l ˈ eɪ ʃ ə n z
regulatory; ɹ ˈ ɛ g j ʊ l ə t ə ɹ i
rehab; ɹ ˈ iː h ˌ æ b
rehabilitation; ɹ ˌ iː ə b ɪ l ɪ t ˈ eɪ ʃ ə n
rehearsal; ɹ ɪ h ˈ ɜː s ə l
reign; ɹ ˈ eɪ n
rein; ɹ ˈ eɪ n
reinforce; ɹ ˌ iː ɪ n f ˈ ɔː s
reject; ɹ ɪ d͡ʒ ˈ ɛ k t
reject; ɹ ˈ iː d͡ʒ ɛ k t
rejected; ɹ ɪ d͡ʒ ˈ ɛ k t ɪ d
rejection; ɹ ɪ d͡ʒ ˈ ɛ k ʃ ə n
relate; ɹ ɪ l ˈ eɪ t
related; ɹ ɪ l ˈ eɪ t ɪ d
relates; ɹ ɪ l ˈ eɪ t s
relating; ɹ ɪ l ˈ eɪ t ɪ ŋ
relation; ɹ ɪ l ˈ eɪ ʃ ə n
relations; ɹ ɪ l ˈ eɪ ʃ ə n z
relationship; ɹ ɪ l ˈ eɪ ʃ ə n ʃ ˌ ɪ p
relationships; ɹ ɪ l ˈ eɪ ʃ ə n ʃ ˌ ɪ p s
relative; ɹ ˈ ɛ l ə t ɪ v
relatively; ɹ ˈ ɛ l ə t ɪ v l i
relatives; ɹ ˈ ɛ l ə t ɪ v z
relax; ɹ ɪ l ˈ æ k s
relaxation; ɹ ˌ iː l æ k s ˈ eɪ ʃ ə n
relaxed; ɹ ɪ l ˈ æ k s t
relay; ɹ ˈ iː l eɪ
relay; ɹ ɪ l ˈ eɪ
release; ɹ ɪ l ˈ iː s
released; ɹ ɪ l ˈ iː s t
releases; ɹ ɪ l ˈ iː s ɪ z
relevance; ɹ ˈ ɛ l ɪ v ə n s
relevant; ɹ ˈ ɛ l ɪ v ə n t
reliability; ɹ ɪ l ˌ aɪ ə b ˈ ɪ l ɪ t i
reliable; ɹ ɪ l ˈ aɪ ə b ə l
reliance; ɹ ɪ l ˈ aɪ ə n s
relic; ɹ ˈ ɛ l ɪ k
relief; ɹ ɪ l ˈ iː f
relieve; ɹ ɪ l ˈ iː v
relieved; ɹ ɪ l ˈ iː v d
religion; ɹ ɪ l ˈ ɪ d͡ʒ ə n
religions; ɹ ɪ l ˈ ɪ d͡ʒ ə n z
religious; ɹ ɪ l ˈ ɪ d͡ʒ ə s
reload; ɹ iː l ˈ əʊ d
relocation; ɹ ɪ l əʊ k ˈ eɪ ʃ ə n
reluctance; ɹ ɪ l ˈ ʌ k t ə n s
reluctant; ɹ ɪ l ˈ ʌ k t ə n t
reluctantly; ɹ ɪ l ˈ ʌ k t ə n t l i
rely; ɹ ɪ l ˈ aɪ
relying; ɹ ɪ l ˈ aɪ ɪ ŋ
remain; ɹ ɪ m ˈ eɪ n
remainder; ɹ ɪ m ˈ eɪ n d ə
remained; ɹ ɪ m ˈ eɪ n d
remaining; ɹ ɪ m ˈ eɪ n ɪ ŋ
remains; ɹ ɪ m ˈ eɪ n z
remark; ɹ ɪ m ˈ ɑː k
remarkable; ɹ ɪ m ˈ ɑː k ə b ə l
remarkably; ɹ ɪ m ˈ ɑː k ə b l i
remarked; ɹ ɪ m ˈ ɑː k t
remarks; ɹ ɪ m ˈ ɑː k s
remedies; ɹ ˈ ɛ m ɪ d i z
remedy; ɹ ˈ ɛ m ɪ d i
remember; ɹ ɪ m ˈ ɛ m b ə
remembered; ɹ ɪ m ˈ ɛ m b ə d
remembering; ɹ ɪ m ˈ ɛ m b ɹ ɪ ŋ
remembering; ɹ ɪ m ˈ ɛ m b ə ɹ ɪ ŋ
remembers; ɹ ɪ m ˈ ɛ m b ə z
remind; ɹ ɪ m ˈ aɪ n d
reminded; ɹ ɪ m ˈ aɪ n d ɪ d
reminder; ɹ ɪ m ˈ aɪ n d ə
reminds; ɹ ɪ m ˈ aɪ n d z
remit; ɹ ˈ iː m ɪ t
remit; ɹ ɪ m ˈ ɪ t
remix; ɹ ˈ iː m ˌ ɪ k s
remix; ɹ iː m ˈ ɪ k s
remnant; ɹ ˈ ɛ m n ə n t
remote; ɹ ɪ m ˈ əʊ t
removable; ɹ ɪ m ˈ uː v ə b ə l
removal; ɹ ɪ m ˈ uː v ə l
remove; ɹ ɪ m ˈ uː v
removed; ɹ ɪ m ˈ uː v d
removing; ɹ ɪ m ˈ uː v ɪ ŋ
remuneration; ɹ ˌ ɪ m j uː n ə ɹ ˈ eɪ ʃ ə n
renaissance; ɹ ə n ˈ eɪ s ə n s
renal; ɹ ˈ iː n ə l
renault; ɹ ˈ ɛ n əʊ
rend; ɹ ˈ ɛ n d
render; ɹ ˈ ɛ n d ə
rendered; ɹ ˈ ɛ n d ə d
rendering; ɹ ˈ ɛ n d ə ɹ ɪ ŋ
renew; ɹ ɪ n j ˈ uː
renewable; ɹ ɪ n j ˈ uː ə b ə l
renewal; ɹ ɪ n j ˈ uː ə l
renewed; ɹ ɪ n j ˈ uː d
renfrewshire; ɹ ˈ ɛ n f ɹ uː ʃ ə
reno; ɹ ˈ iː n əʊ
rent; ɹ ˈ ɛ n t
rental; ɹ ˈ ɛ n t ə l
rentals; ɹ ˈ ɛ n t ə l z
rep; ɹ ˈ ɛ p
repaid; ɹ ɪ p ˈ eɪ d
repair; ɹ ɪ p ˈ ɛə
repairs; ɹ ɪ p ˈ ɛə z
repay; ɹ ɪ p ˈ eɪ
repayment; ɹ ɪ p ˈ eɪ m ə n t
repayments; ɹ ɪ p ˈ eɪ m ə n t s
repeat; ɹ ɪ p ˈ iː t
repeated; ɹ ɪ p ˈ iː t ɪ d
repeatedly; ɹ ɪ p ˈ iː t ɪ d l i
repel; ɹ ɪ p ˈ ɛ l
repertoire; ɹ ˈ ɛ p ə t w ˌ ɑː
repetition; ɹ ˌ ɛ p ɪ t ˈ ɪ ʃ ə n
replace; ɹ ɪ p l ˈ eɪ s
replaced; ɹ ɪ p l ˈ eɪ s t
replacement; ɹ ɪ p l ˈ eɪ s m ə n t
replacing; ɹ ɪ p l ˈ eɪ s ɪ ŋ
replica; ɹ ˈ ɛ p l ɪ k ə
replicate; ɹ ˈ ɛ p l ɪ k ˌ eɪ t
replicate; ɹ ˈ ɛ p l ɪ k ɪ t
replication; ɹ ˌ ɛ p l ɪ k ˈ eɪ ʃ ə n
replied; ɹ ɪ p l ˈ aɪ d
replies; ɹ ɪ p l ˈ aɪ z
reply; ɹ ɪ p l ˈ aɪ
repo; ɹ ˈ iː p əʊ
report; ɹ ɪ p ˈ ɔː t
reported; ɹ ɪ p ˈ ɔː t ɪ d
reportedly; ɹ ɪ p ˈ ɔː t ɪ d l i
reporter; ɹ ɪ p ˈ ɔː t ə
reporters; ɹ ɪ p ˈ ɔː t ə z
reporting; ɹ ɪ p ˈ ɔː t ɪ ŋ
reports; ɹ ɪ p ˈ ɔː t s
repository; ɹ ɪ p ˈ ɒ z ɪ t ə ɹ i
represent; ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t
representation; ɹ ˌ ɛ p ɹ ɪ z ɛ n t ˈ eɪ ʃ ə n
representations; ɹ ˌ ɛ p ɹ ɪ z ɛ n t ˈ eɪ ʃ ə n z
representative; ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ə t ɪ v
representatives; ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ə t ɪ v z
represented; ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ɪ d
representing; ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t ɪ ŋ
represents; ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t s
reprint; ɹ ˈ iː p ɹ ɪ n t
reprint; ɹ iː p ɹ ˈ ɪ n t
reprints; ɹ ˈ iː p ɹ ɪ n t s
reprints; ɹ iː p ɹ ˈ ɪ n t s
reproduce; ɹ ˌ iː p ɹ ə d j ˈ uː s
reproduced; ɹ ˌ iː p ɹ ə d j ˈ uː s t
reproduction; ɹ ˌ iː p ɹ ə d ˈ ʌ k ʃ ə n
reproductive; ɹ ˌ iː p ɹ ə d ˈ ʌ k t ɪ v
republic; ɹ ɪ p ˈ ʌ b l ɪ k
republican; ɹ ɪ p ˈ ʌ b l ɪ k ə n
republicans; ɹ ɪ p ˈ ʌ b l ɪ k ə n z
republics; ɹ ɪ p ˈ ʌ b l ɪ k s
reputation; ɹ ˌ ɛ p j ʊ t ˈ eɪ ʃ ə n
request; ɹ ɪ k w ˈ ɛ s t
requested; ɹ ɪ k w ˈ ɛ s t ɪ d
requesting; ɹ ɪ k w ˈ ɛ s t ɪ ŋ
requests; ɹ ɪ k w ˈ ɛ s t s
require; ɹ ɪ k w ˈ aɪ ə
required; ɹ ɪ k w ˈ aɪ ə d
requirement; ɹ ɪ k w ˈ aɪ ə m ə n t
requirements; ɹ ɪ k w ˈ aɪ ə m ə n t s
requires; ɹ ɪ k w ˈ aɪ ə z
requiring; ɹ ɪ k w ˈ aɪ ə ɹ ɪ ŋ
rescue; ɹ ˈ ɛ s k j uː
research; ɹ ɪ s ˈ ɜː t͡ʃ
research; ɹ ˈ iː s ɜː t͡ʃ
researcher; ɹ ɪ s ˈ ɜː t͡ʃ ə
researcher; ɹ ˈ iː s ɜː t ə
researchers; ɹ ɪ s ˈ ɜː t͡ʃ ə z
researchers; ɹ ˈ iː s ɜː t ə z
reseller; ɹ iː s ˈ ɛ l ə
resemble; ɹ ɪ z ˈ ɛ m b ə l
resent; ɹ ɪ z ˈ ɛ n t
resentment; ɹ ɪ z ˈ ɛ n t m ə n t
reservation; ɹ ˌ ɛ z ə v ˈ eɪ ʃ ə n
reservations; ɹ ˌ ɛ z ə v ˈ eɪ ʃ ə n z
reserve; ɹ ɪ z ˈ ɜː v
reserved; ɹ ɪ z ˈ ɜː v d
reserves; ɹ ɪ z ˈ ɜː v z
reservoir; ɹ ˈ ɛ z ə v w ˌ ɑː
reset; ɹ ˈ iː s ɛ t
reset; ɹ ɪ s ˈ ɛ t
reside; ɹ ɪ z ˈ aɪ d
residence; ɹ ˈ ɛ z ɪ d ə n s
resident; ɹ ˈ ɛ z ɪ d ə n t
residential; ɹ ˌ ɛ z ɪ d ˈ ɛ n ʃ ə l
residents; ɹ ˈ ɛ z ɪ d ə n t s
residual; ɹ ɪ z ˈ ɪ d j ʊə l
residue; ɹ ˈ ɛ z ɪ d j ˌ uː
resign; ɹ ɪ z ˈ aɪ n
resignation; ɹ ˌ ɛ z ɪ g n ˈ eɪ ʃ ə n
resigned; ɹ ɪ z ˈ aɪ n d
resin; ɹ ˈ ɛ z ɪ n
resist; ɹ ɪ z ˈ ɪ s t
resistance; ɹ ɪ z ˈ ɪ s t ə n s
resistant; ɹ ɪ z ˈ ɪ s t ə n t
resolution; ɹ ˌ ɛ z ə l ˈ uː ʃ ə n
resolutions; ɹ ˌ ɛ z ə l ˈ uː ʃ ə n z
resolve; ɹ ɪ z ˈ ɒ l v
resolved; ɹ ɪ z ˈ ɒ l v d
resort; ɹ ɪ z ˈ ɔː t
resorts; ɹ ɪ z ˈ ɔː t s
resource; ɹ ɪ s ˈ ɔː s
resource; ɹ ɪ z ˈ ɔː s
resource; ɹ ˈ iː s ɔː s
resources; ɹ ɪ s ˈ ɔː s ɪ z
resources; ɹ ɪ z ˈ ɔː s ɪ z
respect; ɹ ɪ s p ˈ ɛ k t
respectable; ɹ ɪ s p ˈ ɛ k t ə b ə l
respected; ɹ ɪ s p ˈ ɛ k t ɪ d
respective; ɹ ɪ s p ˈ ɛ k t ɪ v
respectively; ɹ ɪ s p ˈ ɛ k t ɪ v l i
respects; ɹ ɪ s p ˈ ɛ k t s
respiratory; ɹ ɪ s p ˈ ɪ ɹ ə t ə ɹ i
respiratory; ɹ ˈ ɛ s p ə ɹ ə t ə ɹ i
respite; ɹ ˈ ɛ s p aɪ t
respite; ɹ ˈ ɛ s p ɪ t
respond; ɹ ɪ s p ˈ ɒ n d
responded; ɹ ɪ s p ˈ ɒ n d ɪ d
respondent; ɹ ɪ s p ˈ ɒ n d ə n t
respondents; ɹ ɪ s p ˈ ɒ n d ə n t s
responding; ɹ ɪ s p ˈ ɒ n d ɪ ŋ
response; ɹ ɪ s p ˈ ɒ n s
responses; ɹ ɪ s p ˈ ɒ n s ɪ z
responsibilities; ɹ ɪ s p ˌ ɒ n s ɪ b ˈ ɪ l ɪ t i z
responsibility; ɹ ɪ s p ˌ ɒ n s ɪ b ˈ ɪ l ɪ t i
responsible; ɹ ɪ s p ˈ ɒ n s ɪ b ə l
rest; ɹ ˈ ɛ s t
restaurant; ɹ ˈ ɛ s t ɹ ˌ ɒ n t
restaurant; ɹ ˈ ɛ s t ə ɹ ˌ ɒ n t
