ð ə; the
k ˈ æ n d ə d eɪ t s; candidate's candidates candidates'
p ˈ æ s ɪ ŋ; passing
t w ˈ ɛ l v; twelve
s ˌ aʊ θ w ˈ ɛ s t; southwest
k ˈ aʊ n t; count
h ˈ i t; heat
h ˈ aɪ t; height heit hiett hight hite
b ˈ ɝ d z; bird's birds birds' byrd's
n ˌ ɔ ɹ w ˈ i dʒ ə n; norwegian
f ˈ ɪ n ɪ ʃ ɪ ŋ; finishing
p ˈ æ s ə n dʒ ɝ; passenger
t ˈ ɑ ɹ g ə t; target
f ˈ aɪ n d z; finds
s ˈ ɪ ɹ i ə s; serious
s k ˈ ɛ dʒ ʊ l d; scheduled
p ɹ ˈ u v d; proved
ə m ˈ ɛ ɹ ə k ə n z; americans
ɹ ˈ ɪ ɹ; rear
ˈ eɪ dʒ d; aged
p ˈ eɪ dʒ; page paige
s ɝ v ˈ eɪ; servais survey
tʃ ˈ æ p ə l; chapel chappel chappell chapple
k ə θ ˈ i d ɹ ə l; cathedral
n ˈ ʌ θ ɪ ŋ; nothing
v j ˈ u z; views
l ˈ æ n d z; land's landes lands lands'
k ˈ ɪ l; kill kille
s k ˈ eɪ l; scale
s t ˈ æ n d ɪ ŋ; standing
ɹ ə f ˈ ɔ ɹ m; reform
t ə w ˈ ɔ ɹ d; toward
s ˈ ɔ t; sot sought
ˌ ɪ m p ˈ ɔ ɹ t ə n s; importance
ɑ ɹ t ˈ ɪ l ɝ i; artillery
d ˈ aɪ n ə s t i; dynasty
s ə l ˈ ɛ k ʃ ə n; selection
k w ˈ aɪ t; quite
k ə m p ˈ oʊ z ɝ; composer
t ˈ ɛ n ə s; tennis
k ˈ æ ɹ i; carry
ˈ æ g ɹ ɪ k ˌ ʌ l tʃ ɝ; agriculture
v ˈ aɪ ə l ə n s; violence
t ˈ ɛ m p ɹ ə tʃ ɝ; temperature
m ˈ ɑ s k ˌ oʊ; moscow
f ˈ eɪ l j ɝ; failure
ˈ ɛ n ˌ ɛ f ˈ ɛ l; nfl
ˈ ɔ ɹ d ɝ z; order's orders
h ɝ s ˈ ɛ l f; herself
ɪ k s t ˈ ɝ n ə l; external
f ˈ aɪ n ə l z; finals
m ˈ ɛ l b ɝ n; melbourne melburn
k ˈ eɪ m b ɹ ɪ dʒ; cambridge
k ə n t ˈ eɪ n d; contained
ə k ˈ ɝ; occur
p i ˈ æ n oʊ; piano
k ə m j ˌ u n ə k ˈ eɪ ʃ ə n; communication
s ˈ ɛ ɹ ə m ˌ oʊ n i; ceremony
h ˈ ɛ v ə l i; heavily
m ˈ æ n tʃ ˌ ɛ s t ɝ; manchester
dʒ ˈ u z; jews jews' joos
m ə z ˈ ʊ ɹ i; missouri
k ɹ ˈ ɪ s m ə s; christmas christmas'
h ˈ ɝ d; heard herd hird hurd
d ɛ k ˈ eɪ d z; decades
s t ɹ ˈ eɪ t; straight strait strate streight
k ˈ ɑ ɹ d; card
ˌ ɪ n s t ɪ t ˈ u ʃ ə n; institution
dʒ ˈ ɝ n ə l ə s t; journalist
h ˈ oʊ m z; holmes home's homes homes'
l ˈ oʊ n; loan lone
m ˈ ʌ z l ə m; muslim
h ˈ ʌ n d ɹ ə d; hundred
ɪ k s p ɹ ˈ ɛ s t; expressed
aɪ d ˈ i ə z; idea's ideas
ˌ ɪ n t ɹ ə d ˈ ʌ k ʃ ə n; introduction
t ɹ ˈ aɪ ɪ ŋ; trying
ˈ ɪ n s ə d ə n t; incident
ˈ ɛ t; et
b ˈ ɛ l; behl bel bell belle
ɹ ˈ ɪ l i; really rylee
ɪ n h ˈ æ b ə t ə n t s; inhabitants
ɹ ˈ i tʃ ɪ ŋ; reaching
m eɪ n t ˈ eɪ n d; maintained
s ˈ ɪ g n ə l; signal
p ɹ ə d ˈ u s ɪ ŋ; producing
ˌ ɪ n v ˈ eɪ ʒ ə n; invasion
ɹ ɪ z ˈ ɪ s t ə n s; resistance resistence
s ˈ eɪ l; sail sale salle sayle
ə d v ˈ æ n s; advance
f j ˈ u ə l; fuel
p ˈ oʊ ə t; poet
ɹ ˈ ɪ tʃ; rich riche ritch
ˌ ɑ p ɝ t ˈ u n ə t i; opportunity
k ˌ ɑ n s ɝ v ˈ eɪ ʃ ə n; conservation
ʃ ˈ eɪ p; shape
ˌ ɪ n d i ˈ æ n ə; indiana
k ˈ ɛ m ə k ə l; chemical
p ˈ eɪ ʃ ə n t s; patient's patients patients'
f ˈ æ ʃ ə n; fashion
ˌ ɪ n v ˈ ɛ s t m ə n t; investment
ʃ ɹ ˈ i; shri sri
k ˈ ɔ ɹ s ə z; courses
ɹ ˈ ɛ dʒ ɪ s t ɝ d; registered
p ɹ ə t ˈ ɛ k t; protect
n ˈ ɔ ɹ w ˌ eɪ; norway
m ˈ aɪ n d; mind mined
ɹ ˈ u f; roof ruef rueff rufe
k ˈ oʊ l d; cold
ɪ g z ˈ ɪ s t; exist
f ˈ ɪ l ə p ˌ i n z; philippines philippines'
h ˈ ɪ t s; hits hitz
m ˈ oʊ t ɝ; motor
m ˈ oʊ ʃ ə n; motion
k ə n s ˈ ɛ k j ə t ɪ v; consecutive
f ˈ ɑ l oʊ; follow
v i ˌ ɛ t n ˈ ɑ m; vietnam
k ə l ˈ oʊ n i ə l; colonial
b ˈ ʌ dʒ ɪ t; budget
k ˈ ɔ l z; call's calls
p ˈ ɑ s ə b l i; possibly
m ˈ ɝ dʒ d; merged
k ˈ ɝ n ə l; colonel kernel
p ˈ æ s ə z; passes
s t ˈ i v ə n; stephen steven
k ˈ ɑ m ɪ k; comic
l ˈ eɪ d; lade laid
p ɹ ə m ˈ oʊ t; promote
p ɝ h ˈ æ p s; perhaps
h ɪ s t ˈ ɔ ɹ i ə n; historian
ɪ k s t ˈ ɛ n ʃ ə n; extension
b ɹ ˈ oʊ k ə n; broken
p ˈ ɑ ɹ t n ɝ ʃ ˌ ɪ p; partnership
t ˈ oʊ n i; toney toni tonie tony
ɛ n g ˈ eɪ dʒ d; engaged
t ˌ ɛ n ə s ˈ i; tennessee
tʃ ˈ eɪ m b ɝ; chamber
ə v ˈ ɔɪ d; avoid
k l ˈ oʊ s l i; closely
d ɪ s t ˈ ɪ ŋ g w ɪ ʃ t; distinguished
t ˈ ɪ p ə k ə l; typical
s k ˈ ɪ l z; skills
m ˈ aɪ n; mine
j ˈ u z ɝ z; user's users users'
s k ɹ ˈ i n; screen
h ˈ ɛ ɹ i; hairy harry
d ˈ eɪ t s; date's dates
k ˈ ɑ z ə z; causes
ɹ ˈ ɛ z ɪ d ə n s; residence
v ˈ oʊ t ɪ d; voted
d ˈ ɛ s; des
ˈ ɝ l; earl earle earll erl
h ˈ aɪ ɝ d; hired
p ˈ ɔ ɹ tʃ ə g ˌ i z; portuguese
k ˌ ɑ l ɝ ˈ ɑ d oʊ; colorado
k ə l ˈ ɛ k t ə d; collected
s ˈ i n z; saenz scenes
k ə n s ˈ ɪ s t ɪ ŋ; consisting
ɛ m p l ˈ ɔɪ i z; employee's employees employees'
t ˈ ɝ k i; turkey
b ˈ æ ŋ k s; bank's bankes banks banks'
ɪ n t ˈ aɪ ɝ l i; entirely
t ɹ ˈ eɪ l; trail
s ˈ ɪ ŋ ɪ ŋ; singing
dʒ ˈ ɔɪ n ɪ ŋ; joining
d ˈ aʊ n t ˈ aʊ n; downtown
ɹ ɪ z ˈ aɪ n d; resigned
s t ɹ ˈ i t s; street's streets
n ˈ ɛ g ə t ɪ v; negative
t ɹ ˈ eɪ n d; trained
ˈ ɛ n dʒ ə n z; engine's engines
v ˈ ɪ ʒ ə w ə l; visual
s t ˈ ɑ ɹ t s; starts
d ˌ i v ˌ i d ˈ i; dvd
dʒ ˈ ʌ ŋ k ʃ ə n; junction
n ˈ oʊ t ə b l i; notably
ˈ æ d; ad add
ˌ ɪ m p ɹ ˈ u v d; improved
j ˌ u n ə v ˈ ɝ s ə t i z; universities university's
t ɹ ˈ aɪ; tri trie try
f l ˈ oʊ; flo floe flow flowe
dʒ ˈ i n; gean gene jean jeane jeanne
ˈ ɛ n t ɝ; enter
ˌ ɪ m p ɹ ˈ u v; improve
w ˈ ɝ l d z; world's worlds
ɹ ɪ g ˈ ɑ ɹ d ɪ d; regarded
v ˈ æ l j u z; values values'
ˌ ɪ n s t ˈ ɔ l d; installed
ˈ ɑ ɹ g j u d; argued
g ˈ ɛ t ɪ ŋ; getting
d ɪ t ˈ eɪ l z; details
p ˈ ɪ k tʃ ɝ; picture
f ˈ ɔ ɹ d; foard ford forde
k w ˈ i n z l ˌ æ n d; queensland
h ˈ æ b ə t ˌ æ t; habitat
s t ˈ eɪ t m ə n t; statement
ˈ i k w ə l; equal
ə b z ˈ ɝ v d; observed
m ˈ ɛ ɹ ə l ə n d; maryland
ɪ s t ˈ æ b l ɪ ʃ; establish
w ˈ ɔ ɹ d; ward warde
s ˈ eɪ v; save
b ˈ ɑ d i z; bodies body's
f ˈ ɛ ɹ; fair faire fare fehr ferre phair
t ˈ æ s k; task
æ θ l ˈ ɛ t ɪ k s; athletics
s t ˈ eɪ t ɪ ŋ; stating
p ˈ eɪ n t ɪ ŋ z; paintings
s t ˈ ɔ ɹ z; store's stores stores' storrs storz
t ɛ k n ˈ i k s; techniques
w ˈ ɛ b; web webb
n ˈ eɪ b ɝ h ˌ ʊ d; neighborhood neighbourhood
ə t ˈ ɝ n i; attorney
k ˈ ɪ l ɪ ŋ; killing
ˈ ɔ ɹ ə g ə n; oregon
tʃ ˈ ɛ ɹ; chair
s ˈ ɛ v ə n θ; seventh
f l ˈ æ g; flag flagg
ə d ˈ ɪ ʃ ə n ˌ ʌ l i; additionally
d ˈ ɑ n; daane dohn don donn
ˈ aɪ; ai aye eye i i.
m ˈ aɪ n ɪ ŋ; mining
ˌ ɛ ɹ ɪ z ˈ oʊ n ə; arizona
k ˈ ɑ s t s; costs
t ˈ i tʃ ɝ z; teacher's teachers teachers'
k ə m p ˈ i t; compete
s t ɹ ˈ ɛ ŋ k θ; strength
ˌ ɔ ɹ g ə n ɪ z ˈ eɪ ʃ ə n; organisation
ə dʒ ˈ eɪ s ə n t; adjacent
s p ˈ ɑ t; spot
ˈ i v n ɪ ŋ; evening
ˈ æ m ə t ˌ ɝ; amateur
h ˈ oʊ p; hope
p ˌ ɑ ɹ l ə m ˈ ɛ n t ɝ i; parliamentary
k ɹ ˈ aɪ s ə s; crisis
w ˈ ɪ n ɝ z; winner's winners winners'
s ˈ ɛ k ʃ ə n z; section's sections
d ˈ æ m; dahm dam damm damme damn
ˈ æ l b ɝ t; albert
t ˈ ɝ k ɪ ʃ; turkish
s p ˈ ɪ ɹ ə t; spirit
ˈ ɪ n t ɹ ə s t s; interests
ˈ æ d ɹ ˌ ɛ s; address
d ˈ aɪ; dai die dye
k ˈ ɑ n; caan con conn conn. kahn khan kohn kon
l ˈ ʊ k ɪ ŋ; looking
k ˈ ɑ z ɪ ŋ; causing
k ˈ oʊ l; coal coale cole colle koehl koelle kohl kol kole
h j ˈ u m ə n z; human's humans
s w ˈ ɪ t s ɝ l ə n d; switzerland
l ˈ ɪ ŋ k s; lincks link's links lynx
d ɪ s k ɹ ˈ aɪ b z; describes
tʃ ˈ æ p t ɝ; chapter
ˌ æ n ə v ˈ ɝ s ɝ i; anniversary
w ɪ s k ˈ ɑ n s ə n; wisconsin
s ˈ ɛ k ə n d z; second's seconds
w ˈ ɔ l t ɝ; walter
p ɹ ə d ˈ ʌ k ʃ ə n z; productions productions'
b ɹ ˈ i f l i; briefly
ˈ ɑ b dʒ ɛ k t s; objects
v ˈ oʊ k ə l z; vocals
g ɹ ˈ aʊ n d z; grounds
k ə n t ɹ ˈ oʊ l d; controlled
k ˈ æ b ə n ə t; cabinet
f ˈ ɔ ɹ m j ə l ə; formula
m j u z ˈ ɪ ʃ ə n z; musician's musicians musicians'
ˈ i z ə l i; easily
ˈ ɑ p ɝ ˌ eɪ t; operate
ɹ ˈ u l d; ruled
ɝ ˈ i n ə; arena erina
d ɹ ˈ aɪ v ɝ; driver
d ɝ ˈ ɛ k t ɝ z; directors
f ˈ ʊ t; foot foote
k ˈ ɔ ɹ t s; court's courts courts' kortz
d ɪ v ˈ ɪ ʒ ə n z; division's divisions divisions'
m ˈ ɛ m b ɝ ʃ ˌ ɪ p; membership
p ɹ ˈ oʊ t ˌ i n; protein
ɹ ˈ ɪ v ɝ z; river's rivers
s ˈ ɛ ʃ ə n; session
b ˈ ɝ ˌ oʊ; borough
t ˈ ɔ k; talk
s ˈ i m z; seams seems siems
d ɪ s t ɹ ˈ ɪ b j ə t ə d; distributed
k ˈ ɔ l ɪ ŋ; calling
g ˈ ʊ d z; good's goods
p ˈ ɝ tʃ ə s; purchase
ə h ˈ ɛ d; ahead
ɪ l ˈ ɛ k t ɝ ə l; electoral
tʃ ˈ æ n s; chance
w ˈ ɔ ɹ z; war's wars wars'
d ˈ u t i; duty
ˈ ɛ θ n ɪ k; ethnic
g ˈ eɪ n; gain
tʃ ˈ oʊ z; chose
k ˌ ɑ m b ə n ˈ eɪ ʃ ə n; combination
ˌ ɛ k s p ə d ˈ ɪ ʃ ə n; expedition
l ˈ ɛ g ə s i; legacy
b ˈ ɛ n; behn behne ben benn benne
k ə n k l ˈ u d ə d; concluded
ˈ ɝ l i ə s t; earliest
f ˈ ɔ ɹ m ə l; formal
k ˈ ɑ n t ɹ ə v ˌ ɝ s i; controversy
d ˈ ɪ d ə n t; didn't
ɹ ˌ ɛ z ɪ d ˈ ɛ n ʃ ə l; residential
ɹ ə d ˈ u s; reduce
ɹ ˌ i ˈ æ l ə t ˌ i; reality
s ɝ v ˈ aɪ v d; survived
s ˈ ɪ ŋ ə p ˌ ɔ ɹ; singapore
ˈ i dʒ ə p t; egypt
s t ə t ˈ ɪ s t ɪ k s; statistics statistics'
p ɑ ɹ t ˈ ɪ s ə p ˌ eɪ t; participate
k ɹ ˈ ɛ d ə t; credit
tʃ ˈ eɪ n; chain cheyne
ɹ i ˈ æ k ʃ ə n; reaction
ə f ˈ ɛ k t ɪ d; affected
k ˈ aʊ n t i z; counties county's
k ə n t ˈ ʌ k i; kentucky
b ˈ ɪ z n ə s ə z; businesses
ɹ ˈ u t s; roots routes ruetz
s t ˈ æ n d z; stands
d ɪ z ˈ aɪ n z; designs
ˈ æ k tʃ ə w ə l; actual
ɹ ˈ ɛ g j ə l ɝ l i; regularly
d ɪ s k ˈ ʌ v ɝ i; discovery
m ˈ ɪ l ɝ; millar miller
p ˈ ɝ s ə n z; person's persons
k ɹ ˈ ɪ t ɪ s ˌ ɪ z ə m; criticism
ˈ ɪ m ə dʒ ə z; images
p ˈ ɑ v ɝ t i; poverty
ˌ ɪ z l ˈ ɑ m ɪ k; islamic
k ˈ ɑ m j u n; commune
f ˈ æ k t ɝ; factor
d ɛ k ˈ eɪ d; decade
s t ɹ ˈ aɪ k; streich strike
d ˈ i n; dean deane deen
k ˈ ɑ m ə n w ˌ ɛ l θ; commonwealth
f ˈ oʊ k; folk
ˈ ɑ p ɝ ˌ eɪ t s; operates
k ə n t ˈ eɪ n; contain
ɹ ˈ u m z; room's rooms
s ˈ aɪ k ə l; cycle
d ɪ g ɹ ˈ i z; degrees
b ɹ ˈ i f; brief
p ɹ ˈ i; pre pree prix
k ˈ oʊ s t ə l; coastal
h ˈ aʊ ɝ d; howard
ˌ aʊ t s t ˈ æ n d ɪ ŋ; outstanding
l ˈ ɪ ŋ k; linc linck link linke lynk
ˈ ɔ s t ɹ i ə; austria
ɹ ɪ k ˈ ɔ ɹ d ɪ ŋ z; recordings
l ˈ i d z; leads leeds
ˈ ɛ f ˈ ɛ m; fm
b ɹ ˈ aɪ ə n; brian brion bryan bryen bryon
t ɹ ˈ oʊ f i; trophy
ɪ m ˈ ɝ dʒ ə n s i; emergency
ɹ ˈ eɪ ʃ ə l; racial
p l ˈ ʌ s; plus
b ˈ ɑ t ə m; bottom
f ə n ˈ æ n s; finance
p ɹ ˈ oʊ; pro
ɹ ˈ eɪ n; rain raine rayne reign rein reine
w ˈ ʌ n z; one's ones ones'
d i ˈ eɪ g oʊ; diego
s k ˈ ɑ l ɝ z; scholar's scholars
ˈ aɪ t ə m z; items
s ˈ ɛ l ɪ ŋ; selling
ʃ ˈ u t ɪ ŋ; shooting
ə k j ˈ u z d; accused
p ɹ ˈ ɑ g ɹ ˌ ɛ s; progress
k ˈ æ p tʃ ɝ; capture
d ɪ v ˈ aɪ s; device
p ˈ ɪ k tʃ ɝ z; picture's pictures pictures'
d ɪ m ˈ æ n d; demand
ɹ ˈ oʊ; reaux rheault rho ro roe roh rohe row rowe wroe
ˈ ɪ n dʒ ɝ d; injured
g ɹ ˈ i s; grease greece griess
g ˈ ɛ t s; gets getts getz goetz
ʃ ˈ ɑ p; schaap schopp schoppe shop shoppe
m ˈ i n w ˌ aɪ l; meanwhile
ˈ ɑ p ə z ə t; opposite
d ɹ ˈ aɪ; dry drye
ˈ ʌ n d ɝ g ɹ ˌ aʊ n d; underground
k ˌ ɑ n t ɹ ə b j ˈ u ʃ ə n z; contributions
ə p ˈ ɑ ɹ t; apart
ə p ˈ i l; appeal
k ɹ ˈ ɔ s ɪ ŋ; crossing
m j u z ˈ ɪ ʃ ə n; musician
ə s ˈ ɪ s t ə n s; assistance
m ˈ ɔ θ; moth
f ˈ æ k t ɝ z; factors factors'
d eɪ b j ˈ u d; debuted
tʃ ˈ ɑ ɹ dʒ ə z; charges
s ˈ aʊ n d t ɹ ˌ æ k; soundtrack
s w ˈ ɪ s; suess suisse swiss
ɹ ˈ eɪ t ɪ ŋ; rating
j ˌ u n ə v ˈ ɝ s ə l; universal
tʃ ˈ ɑ ɹ t s; charts
ˈ ɔ ɹ ə n dʒ; orange
ˈ oʊ n ɝ z; owner's owners owners'
p ˈ eɪ n t ɪ d; painted
d ɹ ˈ aɪ v ɪ ŋ; driving
l ˈ eɪ n; lain laine lane layne ln
s ˈ æ m; sahm sam
b ɪ h ˈ eɪ v j ɝ; behavior behaviour
ə s ˈ oʊ s i ə t; associate
f ˈ eɪ θ; faith
p ɹ ˈ eɪ z d; praised
ˌ ɛ l ə m ˈ ɛ n t ɹ i; elementary
s t ˈ eɪ dʒ ə z; stages
θ ˈ aʊ z ə n d z; thousands
m eɪ n t ˈ eɪ n; maintain
m ɪ d ˈ i v ə l; medieval
ˌ ʌ n d ɝ s t ˈ æ n d ɪ ŋ; understanding
l ˈ ɪ m ɪ t ɪ d; ltd ltd.
p ɹ ɛ m ˈ ɪ ɹ d; premiered
m ˌ æ n j ə f ˈ æ k tʃ ɝ ɪ ŋ; manufacturing
d ˌ ɛ m ə g ɹ ˈ æ f ɪ k s; demographics
p ˈ æ s ə n dʒ ɝ z; passenger's passengers passengers'
ə t ˈ æ tʃ t; attached
æ d v ˈ æ n t ɪ dʒ; advantage
ə t ˈ ɛ n d; attend
l ˈ æ n d ɪ ŋ; landing
d ɹ ˈ ɔ n; draughn drawn
ɹ ɪ k w ˈ ɛ s t; request
s k ˈ i m; scheme
h j ˈ u s t ə n; houston
d ˈ ɑ k j ə m ə n t s; documents
k ə m ˈ ɪ t ɪ d; committed
s ˈ aɪ m ə n; simon
d ɹ ˈ u; drew dru
ə f ˈ ɛ n s ɪ v; offensive
s ˈ i k w ə n s; sequence
w ˈ ɝ θ; werth wirth worth wurth
ɹ ɪ dʒ ˈ ɛ k t ɪ d; rejected
m ˌ æ θ ə m ˈ æ t ɪ k s; mathematics
k ə l ˌ æ b ɝ ˈ eɪ ʃ ə n; collaboration
d ɪ f ˈ ɛ n s ɪ v; defensive
ˈ æ k s ə d ə n t; accident
p ˈ æ θ; path pathe
d ˈ ɔ ɹ; d'or doar doerr dohr door dore dorr
g ˈ ɑ l f; golf
h ˈ ɑ l i w ˌ ʊ d; hollywood
ˈ ʌ ð ɝ w ˌ aɪ z; otherwise
ˈ æ ɹ ə b; arab
d ˈ aɪ ə s ˌ i z; diocese dioceses
f ˈ æ s t; fast
d ɪ s t ˈ ɪ ŋ k t; distinct
h ˈ ɛ d ə d; headed
s ˈ ɛ n ə t ɝ; senator
ˈ ɛ k s t ɹ ə; extra xtra
k ˈ ɑ n t ɹ æ s t; contrast
w ˈ u n d ɪ d; wounded
ɹ ˌ ɛ p ɹ ɪ z ˈ ɛ n t s; represents
ˈ aɪ z; ais ayes eis eye's eyes eyes' i's i.'s i.s ise
ˌ ɪ n ʃ ˈ ʊ ɹ ə n s; insurance
m ˈ ɛ ʒ ɝ z; measure's measures
h ˈ æ m ə l t ə n; hamilton
ˌ ɛ k ə n ˈ ɑ m ɪ k s; economics
n ˈ ɔ ɹ; knorr nohr nor
b ˈ ɪ g ə s t; biggest
ɛ k s t ɹ ˈ i m l i; extremely
k ɹ ˈ ɛ d ə t ə d; credited
p ɹ ˈ i s t; priest
p ˈ ɝ p ə s ə z; purposes
k l ˌ æ s ə f ə k ˈ eɪ ʃ ə n; classification
k ɹ i ˈ eɪ t ɪ v; creative
s ˈ æ m j u l; samuel
b ˈ ɝ d; bird burd byrd
s t ˈ ʊ d; stood
m ˈ ɪ n ə t; minot minott minute mynatt
ɹ i s p ˌ ɑ n s ə b ˈ ɪ l ə t i; responsibility
s t ˈ ɑ ɹ d; starred
ˈ ɑ l i; ali olley ollie olly
ɹ ˌ i p l ˈ eɪ s; replace
tʃ ˈ ɛ k; check chek cheque czech
f l ˈ aʊ ɝ z; flours flowers flowers'
l ˌ ɛ dʒ ə s l ˈ eɪ ʃ ə n; legislation
d ˈ u t i z; duties
m ˈ i n; mean mein meine mien
tʃ ˈ ɑ ɹ dʒ d; charged
ˈ aɪ ə w ə; iowa
k ˈ ʌ m p ə n i z; company's
ɹ ɪ t ˈ eɪ n d; retained
d ˈ æ m ə dʒ d; damaged
ˈ oʊ n ɝ ʃ ˌ ɪ p; ownership
ʃ ˈ oʊ ɪ ŋ; showing
d ˈ ɔ g; dog
ɑ ɹ t ˈ ɪ s t ɪ k; artistic
t ɹ ˈ ɪ p; trip tripp trippe
f l ˈ æ t; flat flatt
l u ˌ i z i ˈ æ n ə; louisiana
k ˈ ɑ t; caught cot cott khat kot kott
ɹ ˌ i k w ˈ aɪ ɝ; require
w ˈ aɪ l s t; whilst
k w ə b ˈ ɛ k; quebec
t ɹ ˈ aɪ z; tries
ˈ æ f t ɝ w ɝ d z; afterwards
p ˈ eɪ n t ɝ; painter paynter
d ə t ˈ ɝ m ə n; determine
p ˌ ɑ p j ə l ˈ ɛ ɹ ə t i; popularity
ˌ ɪ z ɹ ˈ eɪ l i; israeli
d ɪ l ˈ ɪ v ɝ d; delivered
t ˈ ɝ n z; tern ternes terns turns
dʒ ˈ i z ə s; jesus jesus'
ˈ eɪ dʒ ə z; ages
l ˈ ɝ n d; learned
ɹ ˈ ɛ s t ɝ ˌ ɑ n t; restaurant
k ˈ ɑ l ə n i; colony
d ˈ eɪ n ɪ ʃ; danish
ə k ˈ ʌ m p ə n i d; accompanied
ə s ˈ u m d; assumed
ɹ ˈ eɪ; rae ray raye re rea reay rey wray
k w ˈ ɑ l ə f ˌ aɪ ɪ ŋ; qualifying
p ɹ ə t ˈ ɛ k t ɪ d; protected
s ˈ ʌ b dʒ ɪ k t s; subject's subjects
ɹ ˈ ʌ f l i; roughly
m ˈ ɛ ʒ ɝ; measure
f ɹ ˈ ɛ d ɹ ɪ k; frederic frederick fredric fredrich fredrick
s t ˈ ɛ p; step stepp steppe
d ɪ t ɹ ˈ ɔɪ t; detroit
d ˈ ɪ f ɝ ə n s; difference
s ə v ˈ ɪ ɹ; severe
ɪ k w ˈ ɪ v ə l ə n t; equivalent
ˈ ɑ b dʒ ɛ k t; object
s ˈ æ t ɝ d i; saturday
ə d m ˈ ɪ t ɪ d; admitted
m ˈ ɑ ɹ k ə t ɪ ŋ; marketing
t ɹ æ n z l ˈ eɪ t ɪ d; translated
p w ˈ ɛ ɹ t ˌ oʊ; puerto
ɹ ɪ s t ˈ ɔ ɹ d; restored
s ˈ ɝ k ə l; circle
d ˈ ɪ f ɝ ə n s ɪ z; differences
k ˌ ɑ m p ə t ˈ ɪ ʃ ə n z; competition's competitions
p ˈ ɑ l ə s i z; policies policy's
f ˈ ɪ l ə p; fillip philip phillippe
k ˈ ɪ ŋ z; king's kings kings'
s ɪ g n ˈ ɪ f ɪ k ə n t l i; significantly
ɝ ˈ aɪ v ə l; arrival
l ˈ ɛ g; leg legg legge
p ə n ˈ ɪ n s ə l ə; peninsula
ɹ ɪ l ˈ i f; relief
k ˈ ɑ m ɪ k s; comics
b ɹ ˈ eɪ n; brain
h ˈ ɛ d z; head's heads
w ˈ eɪ v; waive wave
j u k ɹ ˈ eɪ n i ə n; ukrainian
ɪ k s p ˈ ɪ ɹ i ə n s t; experienced
ɹ ɪ t ˈ ɝ n z; returns
ɹ ɪ s p ˈ ɛ k t; respect
b ɹ ˈ ɔ d; braud braude broad
d ˈ eɪ t ɪ ŋ; dating
ə d ˈ æ p t ɪ d; adapted
s t ɹ ˈ æ t ə dʒ i; strategy
ˌ eɪ v i ˈ eɪ ʃ ə n; aviacion aviation
ˈ æ s p ˌ ɛ k t s; aspects
s ˈ ɛ p ɝ ˌ eɪ t ɪ d; separated
n ˈ ɑ v ə l z; novel's novels
ˌ oʊ k l ə h ˈ oʊ m ə; oklahoma
w ˈ ɑ n; juan wan wann
ɹ ˌ ɛ z ə l ˈ u ʃ ə n; resolution
d ˈ ɔ t ɝ z; daughter's daughters daughters'
d ɪ v ˈ aɪ s ə z; devices
ˌ ɑ ɹ dʒ ə n t ˈ i n ə; argentina
b j ˈ u t ə f ə l; beautiful
t ɹ æ n z l ˈ eɪ ʃ ə n; translation
ˈ æ k t ɝ z; actor's actors actors'
w ˈ ɔ t ɝ z; water's waters
b ˈ eɪ b i; baby
t w ˈ ɛ n t i; twenty
l ˈ ɔ s ə z; losses
m ˈ ɪ s ɪ ŋ; missing
ɹ ˈ ɛ l ə t ɪ v; relative
t ˈ ɛ s t ɪ ŋ; testing
ˌ æ l ə b ˈ æ m ə; alabama
ˌ ɑ k j ə p ˈ eɪ ʃ ə n; occupation
l ˈ ɔ j ɝ; lawyer
m ˌ ɪ s ɪ s ˈ ɪ p i; mississippi
k ˈ æ ɹ i ɪ ŋ; carrying
s t ˈ ɔ ɹ ə dʒ; storage
f ˈ ɑ ð ɝ z; father's fathers
v ˈ ɪ ʒ ə n; vision
ˈ ɪ n t ɹ ə s t ɪ d; interested
k ˌ oʊ ə l ˈ ɪ ʃ ə n; coalition
ˈ ɪ n s t ɹ ə m ə n t s; instrument's instruments instruments'
ˈ æ n θ ə n i; anthony
f ˈ ɪ z ɪ k s; physics
p ˈ æ t ɝ n; pattern
s ˈ oʊ l; seoul sohl sole soul sowle
f ˈ aɪ t ɝ; fighter
w ˈ ɪ n d oʊ; window
ə l ˈ aɪ d; allied
k ɹ ˈ aɪ s t; christ
m ˈ æ dʒ ɪ k; magic majik
b l ˈ u z; blue's blues blues'
f ˈ aɪ ɝ d; fired
p ɹ ˈ ɪ n s ɛ s; princess princess'
ɹ ɪ k w ˈ aɪ ɹ m ə n t s; requirements
d ɪ p ˈ ɛ n d ɪ ŋ; depending
p ɹ ˈ æ k t ə s ə z; practices
s ə dʒ ˈ ɛ s t s; suggests
ˈ ɛ v ɹ i θ ˌ ɪ ŋ; everything
ˈ æ s ə d; acid
w ˈ ɪ ŋ z; wing's wings wings'
d ˈ ʌ g l ə s; douglas douglas' douglass
s t ˈ ɑ p t; stopped
d ɪ f ˈ i t ɪ ŋ; defeating
dʒ ˈ ɝ n i; journey jurney
ˌ ɪ n f ɹ ə s t ɹ ˈ ʌ k tʃ ɝ; infrastructure
ˌ ɪ n v ˈ ɑ l v ɪ ŋ; involving
ˌ ɪ ɹ ˈ ɑ k; iraq
